study;condition_arm1;condition_arm2;condition_arm1_details;condition_arm2_details;multi_arm1;multi_arm2;.g;.g_se;instrument;outcome_type;rating;mean_arm1;sd_arm1;n_arm1;mean_arm2;sd_arm2;n_arm2;mean_change_arm1;sd_change_arm1;n_change_arm1;mean_change_arm2;sd_change_arm2;n_change_arm2;event_arm1;totaln_arm1;event_arm2;totaln_arm2;precalc_g;precalc_g_se;baseline_m_arm1;baseline_sd_arm1;baseline_n_arm1;baseline_m_arm2;baseline_sd_arm2;baseline_n_arm2;itt_claimed;is_subscale;is_subsample;primary_study;single_study;year;time;time_weeks;disorder;disorder_details;mean_age;percent_women;percent_ethnicity;percent_collegeeducation;country;treatfreq_arm1;boosternum_arm1;boosterlength_arm1;comorbid_mental;.log_rr;.log_rr_se;.event_arm1;.event_arm2;.totaln_arm1;.totaln_arm2;.id
Mcindoo, 2016;mbsr;ebt;mbct;behavioral activation;NA;behavioral activation;-0,11;0,34;ruminative response scale;msd;NA;43,94;13,46;20;42,50;10,73;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,33;11,48;20;51,43;8,41;16;1;4;0;1;1;2016;post;4,00;depression;depression;19,22;62,04;23,88;100,00;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;mcindoo2016_msd_ruminativeresponsescale_post_4.00_NA_mbsr_ebt_NA_NA
Mcindoo, 2016;mbsr;no treatment;mbct;waitlist;NA;waitlist;1,11;0,37;ruminative response scale;msd;NA;43,94;13,46;20;57,17;8,39;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,33;11,48;20;57,50;12,28;14;1;4;0;1;1;2016;post;4,00;depression;depression;19,22;62,04;23,88;100,00;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;mcindoo2016_msd_ruminativeresponsescale_post_4.00_NA_mbsr_notreatment_NA_NA
Mcindoo, 2016;mbsr;ebt;mbct;behavioral activation;NA;behavioral activation;-0,33;0,34;ruminative response scale;msd;NA;44,67;15,10;20;39,43;16,52;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,33;11,48;20;51,43;8,41;16;1;4;0;1;1;2016;fu1;4,00;depression;depression;19,22;62,04;23,88;100,00;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;mcindoo2016_msd_ruminativeresponsescale_fu1_4.00_NA_mbsr_ebt_NA_NA
Mcindoo, 2016;mbsr;no treatment;mbct;waitlist;NA;waitlist;0,90;0,37;ruminative response scale;msd;NA;44,67;15,10;20;57,08;10,53;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,33;11,48;20;57,50;12,28;14;1;4;0;1;1;2016;fu1;4,00;depression;depression;19,22;62,04;23,88;100,00;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;mcindoo2016_msd_ruminativeresponsescale_fu1_4.00_NA_mbsr_notreatment_NA_NA
Michalak, 2015;mbct;ebt;mbct;cognitive behavioral analysis system of psychotherapy;NA;cognitive behavioral analysis system of psychotherapy;-0,33;0,27;hamilton rating scale for depression;msd;NA;17,86;10,37;28;14,64;8,85;26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23,03;6,27;35;24,71;6,69;36;1;2;0;1;1;2015;post;8,00;depression;depression;50,84;62,26;NA;NA;germany;1,00;0;0;0;NA;NA;NA;NA;NA;NA;michalak2015_msd_hamiltonratingscalefordepression_post_8.00_NA_NA_ebt_NA_NA
Michalak, 2015;mbct;no treatment;mbct;tau;NA;tau;0,35;0,26;hamilton rating scale for depression;msd;NA;17,86;10,37;28;21,16;8,16;32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23,03;6,27;35;23,87;6,33;35;1;2;0;1;1;2015;post;8,00;depression;depression;50,84;62,26;NA;NA;germany;1,00;0;0;0;NA;NA;NA;NA;NA;NA;michalak2015_msd_hamiltonratingscalefordepression_post_8.00_NA_NA_notreatment_NA_NA
Michalak, 2015;mbct;ebt;mbct;cognitive behavioral analysis system of psychotherapy;NA;cognitive behavioral analysis system of psychotherapy;-0,03;0,27;beck depression inventory;msd;NA;22,69;12,11;28;22,28;12,54;26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31,31;9,55;35;30,26;7,52;36;1;1;0;1;1;2015;post;8,00;depression;depression;50,84;62,26;NA;NA;germany;1,00;0;0;0;NA;NA;NA;NA;NA;NA;michalak2015_msd_beckdepressioninventory_post_8.00_NA_NA_ebt_NA_NA
Michalak, 2015;mbct;no treatment;mbct;tau;NA;tau;0,50;0,26;beck depression inventory;msd;NA;22,69;12,11;28;28,34;10,27;32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31,31;9,55;35;29,76;7,42;35;1;1;0;1;1;2015;post;8,00;depression;depression;50,84;62,26;NA;NA;germany;1,00;0;0;0;NA;NA;NA;NA;NA;NA;michalak2015_msd_beckdepressioninventory_post_8.00_NA_NA_notreatment_NA_NA
Michalak, 2015;mbct;ebt;mbct;cognitive behavioral analysis system of psychotherapy;NA;cognitive behavioral analysis system of psychotherapy;-0,11;0,32;beck depression inventory;msd;NA;21,89;13,36;19;20,25;16,89;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31,31;9,55;35;30,26;7,52;36;1;1;0;1;1;2015;fu;8,00;depression;depression;50,84;62,26;NA;NA;germany;1,00;0;0;0;NA;NA;NA;NA;NA;NA;michalak2015_msd_beckdepressioninventory_fu_8.00_NA_NA_ebt_NA_NA
Michalak, 2015;mbct;no treatment;mbct;tau;NA;tau;0,40;0,34;beck depression inventory;msd;NA;21,89;13,36;19;26,53;8,83;17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31,31;9,55;35;29,76;7,42;35;1;1;0;1;1;2015;fu;8,00;depression;depression;50,84;62,26;NA;NA;germany;1,00;0;0;0;NA;NA;NA;NA;NA;NA;michalak2015_msd_beckdepressioninventory_fu_8.00_NA_NA_notreatment_NA_NA
Michalak, 2015;mbct;ebt;mbct;cognitive behavioral analysis system of psychotherapy;NA;cognitive behavioral analysis system of psychotherapy;0,03;0,32;hamilton rating scale for depression;msd;NA;14,74;11,52;19;15,05;9,89;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23,03;6,27;35;24,71;6,69;36;1;2;0;1;1;2015;fu;8,00;depression;depression;50,84;62,26;NA;NA;germany;1,00;0;0;0;NA;NA;NA;NA;NA;NA;michalak2015_msd_hamiltonratingscalefordepression_fu_8.00_NA_NA_ebt_NA_NA
Michalak, 2015;mbct;no treatment;mbct;tau;NA;tau;0,55;0,34;hamilton rating scale for depression;msd;NA;14,74;11,52;19;20,28;7,79;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23,03;6,27;35;23,87;6,33;35;1;2;0;1;1;2015;fu;8,00;depression;depression;50,84;62,26;NA;NA;germany;1,00;0;0;0;NA;NA;NA;NA;NA;NA;michalak2015_msd_hamiltonratingscalefordepression_fu_8.00_NA_NA_notreatment_NA_NA
Miller, 2014;mb-eat;specific active control;mb-eat-diabetes;smart choices;NA;NA;-0,01;0,28;beck depression inventory;msd;NA;7,20;9,04;27;7,13;9,05;25;-2,91;NA;NA;-3,99;NA;NA;NA;NA;NA;NA;NA;NA;10,11;9,04;27;11,12;9,05;25;NA;1;0;0;0;2014;post;NA;weight/eating;obesity;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;miller2014_msd_beckdepressioninventory_post_NA_NA_mb-eat_specificactivecontrol_NA_NA
Miller, 2014;mb-eat;specific active control;mb-eat-diabetes;smart choices;NA;NA;-0,07;0,28;beck depression inventory;msd;NA;6,74;9,04;27;6,12;9,05;25;-3,37;NA;NA;-5,00;NA;NA;NA;NA;NA;NA;NA;NA;10,11;9,04;27;11,12;9,05;25;NA;1;0;0;0;2014;fu1;NA;weight/eating;obesity;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;miller2014_msd_beckdepressioninventory_fu1_NA_NA_mb-eat_specificactivecontrol_NA_NA
Miller, 2014;mb-eat;specific active control;mb-eat-diabetes;smart choices;NA;NA;-0,04;0,28;ffmq total score;msd;NA;3,57;0,57;27;3,59;0,55;25;0,19;NA;NA;0,09;NA;NA;NA;NA;NA;NA;NA;NA;3,38;0,57;27;3,50;0,55;25;NA;5;0;0;0;2014;post;NA;weight/eating;obesity;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;miller2014_msd_ffmqtotalscore_post_NA_NA_mb-eat_specificactivecontrol_NA_NA
Miller, 2014;mb-eat;specific active control;mb-eat-diabetes;smart choices;NA;NA;0,02;0,28;ffmq total score;msd;NA;3,67;0,57;27;3,66;0,55;25;0,29;NA;NA;0,16;NA;NA;NA;NA;NA;NA;NA;NA;3,38;0,57;27;3,50;0,55;25;NA;5;0;0;0;2014;fu1;NA;weight/eating;obesity;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;miller2014_msd_ffmqtotalscore_fu1_NA_NA_mb-eat_specificactivecontrol_NA_NA
Miller, 2014;mb-eat;specific active control;mb-eat-diabetes;smart choices;NA;NA;-0,21;0,28;weight;msd;NA;104,26;19,02;27;100,13;19,00;25;-1,78;NA;NA;-3,25;NA;NA;NA;NA;NA;NA;NA;NA;106,04;19,02;27;103,38;19,00;25;NA;9;0;0;0;2014;post;NA;weight/eating;obesity;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;miller2014_msd_weight_post_NA_NA_mb-eat_specificactivecontrol_NA_NA
Miller, 2014;mb-eat;specific active control;mb-eat-diabetes;smart choices;NA;NA;-0,21;0,28;weight;msd;NA;104,51;19,02;27;100,46;19,00;25;-1,53;NA;NA;-2,92;NA;NA;NA;NA;NA;NA;NA;NA;106,04;19,02;27;103,38;19,00;25;NA;9;0;0;0;2014;fu1;NA;weight/eating;obesity;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;miller2014_msd_weight_fu1_NA_NA_mb-eat_specificactivecontrol_NA_NA
Miller, 2014;mb-eat;specific active control;mb-eat-diabetes;smart choices;NA;NA;-0,16;0,28;energy (calories);msd;NA;1553,00;670,30;27;1445,00;655,00;25;-298,00;NA;NA;-574,00;NA;NA;NA;NA;NA;NA;NA;NA;1851,00;670,30;27;2019,00;655,00;25;NA;4;0;0;0;2014;post;NA;weight/eating;obesity;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;miller2014_msd_energy(calories)_post_NA_NA_mb-eat_specificactivecontrol_NA_NA
Miller, 2014;mb-eat;specific active control;mb-eat-diabetes;smart choices;NA;NA;-0,04;0,28;energy (calories);msd;NA;1361,00;670,30;27;1337,00;655,00;25;-490,00;NA;NA;-682,00;NA;NA;NA;NA;NA;NA;NA;NA;1851,00;670,30;27;2019,00;655,00;25;NA;4;0;0;0;2014;fu1;NA;weight/eating;obesity;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;miller2014_msd_energy(calories)_fu1_NA_NA_mb-eat_specificactivecontrol_NA_NA
Miller, 2014;mb-eat;specific active control;mb-eat-diabetes;smart choices;NA;NA;0,09;0,28;eating self;msd;NA;3,14;1,25;27;3,26;1,25;25;-1,03;NA;NA;-1,05;NA;NA;NA;NA;NA;NA;NA;NA;4,17;1,25;27;4,31;1,25;25;NA;3;0;0;0;2014;post;NA;weight/eating;obesity;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;miller2014_msd_eatingself_post_NA_NA_mb-eat_specificactivecontrol_NA_NA
Miller, 2014;mb-eat;specific active control;mb-eat-diabetes;smart choices;NA;NA;0,07;0,28;eating self;msd;NA;3,16;1,25;27;3,25;1,25;25;-1,01;NA;NA;-1,06;NA;NA;NA;NA;NA;NA;NA;NA;4,17;1,25;27;4,31;1,25;25;NA;3;0;0;0;2014;fu1;NA;weight/eating;obesity;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;miller2014_msd_eatingself_fu1_NA_NA_mb-eat_specificactivecontrol_NA_NA
Miller, 2014;mb-eat;specific active control;mb-eat-diabetes;smart choices;NA;NA;-0,08;0,28;three;msd;NA;7,87;3,45;27;8,16;3,43;25;0,57;NA;NA;0,16;NA;NA;NA;NA;NA;NA;NA;NA;7,31;3,45;27;8,00;3,43;25;NA;7;0;0;0;2014;post;NA;weight/eating;obesity;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;miller2014_msd_three_post_NA_NA_mb-eat_specificactivecontrol_NA_NA
Miller, 2014;mb-eat;specific active control;mb-eat-diabetes;smart choices;NA;NA;0,22;0,28;three;msd;NA;7,80;3,45;27;8,49;3,43;25;0,49;NA;NA;0,49;NA;NA;NA;NA;NA;NA;NA;NA;7,31;3,45;27;8,00;3,43;25;NA;7;0;0;0;2014;fu1;NA;weight/eating;obesity;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;miller2014_msd_three_fu1_NA_NA_mb-eat_specificactivecontrol_NA_NA
Mitchell, 2013;none;no treatment;mindfulness awareness practices for adhd;waitlist;NA;NA;1,53;0,52;adhd symptoms self;msd;NA;15,50;4,27;11;23,11;5,25;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24,77;5,08;11;24,00;3,61;9;0;4;0;1;1;2013;post;8,00;adhd;adhd;38,60;60,00;15,00;85,00;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;mitchell2013_msd_adhdsymptomsself_post_8.00_NA_none_notreatment_NA_NA
Mitchell, 2013;none;no treatment;mindfulness awareness practices for adhd;waitlist;NA;NA;1,75;0,54;adhd symptoms clinician report;msd;NA;15,32;3,51;11;22,56;4,24;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25,63;5,17;11;23,34;3,81;9;0;3;0;1;1;2013;post;8,00;adhd;adhd;38,60;60,00;15,00;85,00;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;mitchell2013_msd_adhdsymptomsclinicianreport_post_8.00_NA_none_notreatment_NA_NA
Mitchell, 2013;none;no treatment;mindfulness awareness practices for adhd;waitlist;NA;NA;1,42;0,51;adhd functioning self;msd;NA;18,55;3,86;11;26,33;6,61;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28,64;6,10;11;26,11;5,30;9;0;2;0;1;1;2013;post;8,00;adhd;adhd;38,60;60,00;15,00;85,00;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;mitchell2013_msd_adhdfunctioningself_post_8.00_NA_none_notreatment_NA_NA
Mitchell, 2013;none;no treatment;mindfulness awareness practices for adhd;waitlist;NA;NA;1,38;0,50;adhd functioning clinician report;msd;NA;18,91;3,62;11;25,89;6,01;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26,73;4,34;11;26,56;4,36;9;0;1;0;1;1;2013;post;8,00;adhd;adhd;38,60;60,00;15,00;85,00;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;mitchell2013_msd_adhdfunctioningclinicianreport_post_8.00_NA_none_notreatment_NA_NA
Mitchell, 2013;none;no treatment;mindfulness awareness practices for adhd;waitlist;NA;NA;1,72;0,53;deficits in executive functionining scale total;msd;NA;103,04;17,00;11;131,83;20,74;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;145,36;24,56;11;137,50;24,27;9;0;8;0;1;1;2013;post;8,00;adhd;adhd;38,60;60,00;15,00;85,00;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;mitchell2013_msd_deficitsinexecutivefunctioniningscaletotal_post_8.00_NA_none_notreatment_NA_NA
Mitchell, 2013;none;no treatment;mindfulness awareness practices for adhd;waitlist;NA;NA;1,02;0,48;behavior rating inventory of executive function;msd;NA;137,09;20,29;11;157,89;18,33;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;158,36;15,59;11;153,89;19,30;9;0;6;0;1;1;2013;post;8,00;adhd;adhd;38,60;60,00;15,00;85,00;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;mitchell2013_msd_behaviorratinginventoryofexecutivefunction_post_8.00_NA_none_notreatment_NA_NA
Mitchell, 2013;none;no treatment;mindfulness awareness practices for adhd;waitlist;NA;NA;0,03;0,46;attentional network task;msd;NA;69,46;28,30;11;69,58;29,67;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;76,79;22,06;11;77,68;48,04;9;0;5;0;1;1;2013;post;8,00;adhd;adhd;38,60;60,00;15,00;85,00;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;mitchell2013_msd_attentionalnetworktask_post_8.00_NA_none_notreatment_NA_NA
Mitchell, 2013;none;no treatment;mindfulness awareness practices for adhd;waitlist;NA;NA;-0,22;0,46;trail;msd;NA;41,58;9,43;10;38,44;10,29;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43,26;13,74;10;49,05;21,66;9;0;14;0;1;1;2013;post;8,00;adhd;adhd;38,60;60,00;15,00;85,00;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;mitchell2013_msd_trail_post_8.00_NA_none_notreatment_NA_NA
Mitchell, 2013;none;no treatment;mindfulness awareness practices for adhd;waitlist;NA;NA;-0,06;0,45;digit span;msd;NA;10,57;2,21;11;10,66;1,55;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10,24;2,08;11;10,04;2,45;9;0;9;0;1;1;2013;post;8,00;adhd;adhd;38,60;60,00;15,00;85,00;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;mitchell2013_msd_digitspan_post_8.00_NA_none_notreatment_NA_NA
Mitchell, 2013;none;no treatment;mindfulness awareness practices for adhd;waitlist;NA;NA;0,21;0,46;continuous performance task;msd;NA;51,43;8,46;10;55,47;10,34;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;51,91;10,48;10;53,71;7,47;9;0;7;0;1;1;2013;post;8,00;adhd;adhd;38,60;60,00;15,00;85,00;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;mitchell2013_msd_continuousperformancetask_post_8.00_NA_none_notreatment_NA_NA
Mitchell, 2013;none;no treatment;mindfulness awareness practices for adhd;waitlist;NA;NA;1,69;0,53;ema inattentive adhd symptoms;msd;NA;14,40;3,53;11;20,73;3,68;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16,85;6,25;11;19,06;5,28;9;0;13;0;1;1;2013;post;8,00;adhd;adhd;38,60;60,00;15,00;85,00;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;mitchell2013_msd_emainattentiveadhdsymptoms_post_8.00_NA_none_notreatment_NA_NA
Mitchell, 2013;none;no treatment;mindfulness awareness practices for adhd;waitlist;NA;NA;0,37;0,45;ema hyperactive;msd;NA;12,10;2,80;11;13,08;2,19;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,77;5,49;11;12,73;2,25;9;0;12;0;1;1;2013;post;8,00;adhd;adhd;38,60;60,00;15,00;85,00;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;mitchell2013_msd_emahyperactive_post_8.00_NA_none_notreatment_NA_NA
Mitchell, 2013;none;no treatment;mindfulness awareness practices for adhd;waitlist;NA;NA;1,63;0,52;ema deficits in executive functioning scale;msd;NA;29,21;5,24;11;37,66;4,61;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33,49;9,42;11;37,02;8,75;9;0;11;0;1;1;2013;post;8,00;adhd;adhd;38,60;60,00;15,00;85,00;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;mitchell2013_msd_emadeficitsinexecutivefunctioningscale_post_8.00_NA_none_notreatment_NA_NA
Mitchell, 2013;none;no treatment;mindfulness awareness practices for adhd;waitlist;NA;NA;1,22;0,49;ema behavior rating inventory of executive functioning;msd;NA;44,68;9,70;11;57,20;9,95;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;53,06;18,21;11;57,91;16,45;9;0;10;0;1;1;2013;post;8,00;adhd;adhd;38,60;60,00;15,00;85,00;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;mitchell2013_msd_emabehaviorratinginventoryofexecutivefunctioning_post_8.00_NA_none_notreatment_NA_NA
Moore, 2016;mbsr;specific active control;mbsr;health education program;NA;NA;0,45;0,25;nih promis ema depression;msd;NA;5,70;2,50;32;7,20;3,90;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,90;3,40;32;7,40;4,20;35;0;4;0;1;1;2016;post;8,00;anxiety;anxiety;70,95;75,57;20,31;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;moore2016_msd_nihpromisemadepression_post_8.00_NA_mbsr_specificactivecontrol_NA_NA
Moore, 2016;mbsr;specific active control;mbsr;health education program;NA;NA;0,23;0,25;nih promis paper;msd;NA;9,40;3,85;32;10,30;3,75;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10,90;3,50;32;11,20;3,55;35;0;5;0;1;1;2016;post;8,00;anxiety;anxiety;70,95;75,57;20,31;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;moore2016_msd_nihpromispaper_post_8.00_NA_mbsr_specificactivecontrol_NA_NA
Moore, 2016;mbsr;specific active control;mbsr;health education program;NA;NA;0,41;0,25;nih promis ema anxiety;msd;NA;7,10;3,90;32;8,80;4,30;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8,50;4,10;32;9,40;4,50;35;0;3;0;1;1;2016;post;8,00;anxiety;anxiety;70,95;75,57;20,31;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;moore2016_msd_nihpromisemaanxiety_post_8.00_NA_mbsr_specificactivecontrol_NA_NA
Moore, 2016;mbsr;specific active control;mbsr;health education program;NA;NA;0,38;0,25;ema cams;msd;NA;14,60;3,00;32;13,50;2,80;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12,90;2,70;32;13,20;2,70;35;0;2;0;1;1;2016;post;8,00;anxiety;anxiety;70,95;75,57;20,31;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;moore2016_msd_emacams_post_8.00_NA_mbsr_specificactivecontrol_NA_NA
Moore, 2016;mbsr;specific active control;mbsr;health education program;NA;NA;0,23;0,25;cams;msd;NA;12,70;2,80;32;12,10;2,40;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10,80;2,40;32;11,20;2,20;35;0;1;0;1;1;2016;post;8,00;anxiety;anxiety;70,95;75,57;20,31;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;moore2016_msd_cams_post_8.00_NA_mbsr_specificactivecontrol_NA_NA
Morone, 2008;mbsr;no treatment;mindfulness (based on mbsr);waitlist;NA;NA;0,23;0,33;mcgill pain questionnaire short form;msd;NA;13,70;7,90;19;15,70;9,10;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15,50;10,00;19;15,20;7,00;18;1;2;0;1;1;2008;post;9,00;pain;back pain;74,90;57,00;89,00;59,46;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;morone2008_msd_mcgillpainquestionnaireshortform_post_9.00_NA_mbsr_notreatment_NA_NA
Morone, 2008;mbsr;no treatment;mindfulness (based on mbsr);waitlist;NA;NA;0,13;0,33;sf;msd;NA;42,80;8,45;19;41,65;9,20;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;38,75;8,45;19;40,40;8,35;18;1;4;0;1;1;2008;post;9,00;pain;back pain;74,90;57,00;89,00;59,46;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;morone2008_msd_sf_post_9.00_NA_mbsr_notreatment_NA_NA
Morone, 2008;mbsr;no treatment;mindfulness (based on mbsr);waitlist;NA;NA;0,23;0,33;roland disability questionnaire;msd;NA;9,40;5,10;19;10,60;5,30;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11,50;3,70;19;11,80;4,60;18;1;3;0;1;1;2008;post;9,00;pain;back pain;74,90;57,00;89,00;59,46;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;morone2008_msd_rolanddisabilityquestionnaire_post_9.00_NA_mbsr_notreatment_NA_NA
Morone, 2008;mbsr;no treatment;mindfulness (based on mbsr);waitlist;NA;NA;0,53;0,33;chronic pain acceptance total score;msd;NA;75,50;16,00;19;64,80;23,00;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;72,20;13,40;19;68,10;20,30;18;1;1;0;1;1;2008;post;9,00;pain;back pain;74,90;57,00;89,00;59,46;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;morone2008_msd_chronicpainacceptancetotalscore_post_9.00_NA_mbsr_notreatment_NA_NA
Morone, 2009;mbsr;specific active control;mindfulness (based on mbsr);active control (successful aging);NA;NA;-0,34;0,34;ffmq observe;msd;NA;27,80;5,20;16;29,70;5,70;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27,80;4,60;16;30,40;5,10;19;0;6;0;1;1;2009;post;8,00;pain;back pain;75,29;62,86;14,29;77,14;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;morone2009_msd_ffmqobserve_post_8.00_NA_mbsr_specificactivecontrol_NA_NA
Morone, 2009;mbsr;specific active control;mindfulness (based on mbsr);active control (successful aging);NA;NA;-0,57;0,35;ffmq observe;msd;NA;28,10;4,60;16;31,00;5,30;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27,80;4,60;16;30,40;5,10;19;0;6;0;1;1;2009;fu1;8,00;pain;back pain;75,29;62,86;14,29;77,14;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;morone2009_msd_ffmqobserve_fu1_8.00_NA_mbsr_specificactivecontrol_NA_NA
Morone, 2009;mbsr;specific active control;mindfulness (based on mbsr);active control (successful aging);NA;NA;-0,05;0,34;ffmq describe;msd;NA;29,80;5,60;16;30,10;5,30;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30,60;6,00;16;30,20;5,00;19;0;3;0;1;1;2009;post;8,00;pain;back pain;75,29;62,86;14,29;77,14;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;morone2009_msd_ffmqdescribe_post_8.00_NA_mbsr_specificactivecontrol_NA_NA
Morone, 2009;mbsr;specific active control;mindfulness (based on mbsr);active control (successful aging);NA;NA;0,10;0,34;ffmq describe;msd;NA;30,40;5,60;16;29,80;6,00;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30,60;6,00;16;30,20;5,00;19;0;3;0;1;1;2009;fu1;8,00;pain;back pain;75,29;62,86;14,29;77,14;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;morone2009_msd_ffmqdescribe_fu1_8.00_NA_mbsr_specificactivecontrol_NA_NA
Morone, 2009;mbsr;specific active control;mindfulness (based on mbsr);active control (successful aging);NA;NA;-0,53;0,35;ffmq act with awareness;msd;NA;29,00;5,10;16;31,60;4,50;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30,00;6,00;16;31,30;4,30;19;0;2;0;1;1;2009;post;8,00;pain;back pain;75,29;62,86;14,29;77,14;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;morone2009_msd_ffmqactwithawareness_post_8.00_NA_mbsr_specificactivecontrol_NA_NA
